epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.92423,1.2586,2.35151,1.42624,0.75726,0.1443,0.19076,0.10856,1.42254,2.74046,1.83782,0.000548258,0.000548258,0.000548258
2,7.413,1.34028,1.89364,1.50572,0.76847,0.22568,0.24791,0.10081,1.77318,2.45153,2.2197,0.00108831,0.00108831,0.00108831
3,10.7708,1.39643,1.82473,1.56182,0.68274,0.21309,0.16735,0.07642,2.00749,2.70662,2.45697,0.00161265,0.00161265,0.00161265
4,14.1104,1.40185,1.72415,1.53355,0.74257,0.22483,0.20472,0.1147,1.66791,2.96627,2.06469,0.00159627,0.00159627,0.00159627
5,17.4548,1.39586,1.64025,1.55591,0.7591,0.20973,0.2374,0.11907,1.68135,2.21641,2.06179,0.0015727,0.0015727,0.0015727
6,20.8096,1.32833,1.5178,1.48807,0.87133,0.27181,0.35003,0.21128,1.45045,1.93549,1.81819,0.00154912,0.00154912,0.00154912
7,24.1492,1.33347,1.52383,1.48943,0.79812,0.29866,0.33587,0.19003,1.5341,1.89064,1.91217,0.00152554,0.00152554,0.00152554
8,27.4777,1.31105,1.40014,1.48432,0.86502,0.28691,0.34928,0.2028,1.50934,1.8812,1.86995,0.00150197,0.00150197,0.00150197
9,30.821,1.29519,1.39482,1.44548,0.89181,0.30201,0.39493,0.23985,1.38952,1.76491,1.75138,0.00147839,0.00147839,0.00147839
10,34.1439,1.23536,1.32319,1.43058,0.91394,0.3104,0.48403,0.2913,1.31229,1.49611,1.66338,0.00145481,0.00145481,0.00145481
11,37.5697,1.25885,1.32367,1.41561,0.5116,0.38931,0.45369,0.29139,1.29956,1.5328,1.64939,0.00143124,0.00143124,0.00143124
12,40.8694,1.20829,1.26856,1.38938,0.34994,0.44498,0.45816,0.27701,1.42189,1.4778,1.79528,0.00140766,0.00140766,0.00140766
13,44.1962,1.1869,1.20785,1.38248,0.45277,0.46612,0.48231,0.2923,1.32614,1.51929,1.67213,0.00138409,0.00138409,0.00138409
14,47.5312,1.19268,1.21356,1.37349,0.50168,0.60906,0.5327,0.3032,1.31755,1.47614,1.7139,0.00136051,0.00136051,0.00136051
15,50.8567,1.14241,1.16943,1.35962,0.46575,0.46432,0.51505,0.30854,1.30979,1.3408,1.67808,0.00133693,0.00133693,0.00133693
16,54.1709,1.16916,1.15062,1.3506,0.56206,0.45634,0.53238,0.30728,1.40237,1.34764,1.76193,0.00131336,0.00131336,0.00131336
17,57.5078,1.14656,1.12528,1.33131,0.5792,0.46962,0.50304,0.30816,1.35783,1.34626,1.73125,0.00128978,0.00128978,0.00128978
18,60.9025,1.12659,1.11803,1.33498,0.46056,0.45929,0.47062,0.29283,1.30582,1.38213,1.65016,0.00126621,0.00126621,0.00126621
19,64.2179,1.11338,1.05596,1.31725,0.56614,0.58637,0.60249,0.3458,1.25278,1.25747,1.59211,0.00124263,0.00124263,0.00124263
